name,price,fuel_type,year,kms,cv,location,url,brand,model,engine,version
BMW Z3 2.0 ROADSTER,12999.0,Gasolina,2000,84000,150,Alicante,https://www.coches.net/bmw-z3-20-roadster-2p-gasolina-2000-en-alicante-59690476-covo.aspx,BMW,Z3,2.0,2.0 ROADSTER
BMW Z3 1.9I,13900.0,Gasolina,1996,110000,140,Valencia,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-valencia-60539782-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9i Roadster,12950.0,Gasolina,2001,100000,118,Madrid,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2002-en-madrid-60791834-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 1.8I,8999.0,Gasolina,1998,132288,115,Castellón,https://www.coches.net/bmw-z3-1.8i-2p-gasolina-1998-en-castellon-60271590-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3 1.9I,10000.0,Gasolina,1997,197000,140,Alicante,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-alicante-60836849-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.8I,7650.0,Gasolina,1997,101000,115,Tarragona,https://www.coches.net/bmw-z3-18i-2p-gasolina-1997-en-tarragona-60837308-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3,5500.0,Gasolina,1997,197000,,Pontevedra,https://www.coches.net/bmw-z3-gasolina-1997-en-pontevedra-60825142-covo.aspx,BMW,Z3,No data,No data
BMW Z3 1.8 ROADSTER,7499.0,Gasolina,2001,199993,118,Cádiz,https://www.coches.net/bmw-z3-m-roadster-2p-gasolina-2001-en-cadiz-60818579-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 ROADSTER 2.0,11900.0,Gasolina,1999,234000,150,Valencia,https://www.coches.net/bmw-z3-roadster-20-2p-gasolina-1999-en-valencia-60819085-covo.aspx,BMW,Z3,2.0,2.0 ROADSTER
BMW Z3 2.0 ROADSTER,12500.0,Gasolina,1999,230000,150,Valencia,https://www.coches.net/bmw-z3-20-roadster-2p-gasolina-1999-en-valencia-60819598-covo.aspx,BMW,Z3,2.0,2.0 ROADSTER
BMW Z3 2.8 ROADSTER,17800.0,Gasolina,1998,126500,193,Barcelona,https://www.coches.net/bmw-z3-28-roadster-2p-gasolina-1998-en-barcelona-60047437-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3,13500.0,Gasolina,1998,125500,192,N/A,https://www.coches.net/bmw-z3-gasolina-1998-en-barcelona-60805668-covo.aspx,BMW,Z3,2.8,2.8 COUPE
BMW Z3 3.0i Roadster,35995.0,Gasolina,2002,31000,231,Madrid,https://www.coches.net/bmw-z3-3.0i-roadster-2p-gasolina-2002-en-madrid-60357149-covo.aspx,BMW,Z3,3.0,3.0 ROADSTER
BMW Z3,5500.0,Gasolina,1999,145000,,Valladolid,https://www.coches.net/bmw-z3-gasolina-1999-en-valladolid-60793193-covo.aspx,BMW,Z3,No data,No data
BMW Z3 2.8,17500.0,Gasolina,1997,94000,192,Pontevedra,https://www.coches.net/bmw-z3-28-2p-gasolina-1997-en-pontevedra-60792249-covo.aspx,BMW,Z3,2.8,2.8
BMW Z3 2.8,16000.0,Gasolina,1997,136000,192,Las Palmas,https://www.coches.net/bmw-z3-28-2p-gasolina-1997-en-las_palmas-60784997-covo.aspx,BMW,Z3,2.8,2.8
BMW Z3,17500.0,Gasolina,2000,103000,,Alicante,https://www.coches.net/bmw-z3-gasolina-2000-en-alicante-60779273-covo.aspx,BMW,Z3,No data,No data
BMW Z3 COUPE 2.8,21500.0,Gasolina,1999,165490,193,Cáceres,https://www.coches.net/bmw-z3-coupe-2.8-3p-gasolina-1999-en-caceres-60106556-covo.aspx,BMW,Z3,2.8,2.8 COUPE
BMW Z3 1.8I,5700.0,Gasolina,1996,193000,115,Baleares,https://www.coches.net/bmw-z3-18i-2p-gasolina-1996-en-baleares-59721777-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3 M Roadster,49990.0,Gasolina,2002,139000,325,Valencia,https://www.coches.net/bmw-z3-m-roadster-2p-gasolina-2002-en-valencia-59467909-covo.aspx,BMW,Z3,No data,ROADSTER
BMW Z3,9000.0,Gasolina,1996,236000,115,Lleida,https://www.coches.net/bmw-z3-gasolina-1996-en-lleida-60765291-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 3.0i Roadster,17950.0,Gasolina,2000,366666,231,Badajoz,https://www.coches.net/bmw-z3-30i-roadster-2p-gasolina-2000-en-badajoz-60063850-covo.aspx,BMW,Z3,3.0,3.0 ROADSTER
BMW Z3 1.9i Roadster,9500.0,Gasolina,2000,298000,118,Almería,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2000-en-almeria-60754408-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3,8650.0,Gasolina,1997,115000,,Granada,https://www.coches.net/bmw-z3-gasolina-1997-en-granada-60806126-covo.aspx,BMW,Z3,No data,No data
BMW Z3,8500.0,Gasolina,2000,136500,,Córdoba,https://www.coches.net/bmw-z3-gasolina-2000-en-cordoba-60755464-covo.aspx,BMW,Z3,No data,No data
BMW Z3 M 3.2,36600.0,Gasolina,1998,105000,321,Madrid,https://www.coches.net/bmw-z3-m-32-2p-gasolina-1998-en-madrid-59369301-covo.aspx,BMW,Z3,3.2,3.2
BMW Z3,11500.0,Gasolina,1998,151000,,Segovia,https://www.coches.net/bmw-z3-gasolina-1998-en-segovia-60748814-covo.aspx,BMW,Z3,No data,ROADSTER
BMW Z3,7000.0,Gasolina,2003,170000,,Las Palmas,https://www.coches.net/bmw-z3-gasolina-2003-en-las_palmas-60722651-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 ROADSTER 1.8I,9200.0,Gasolina,1998,217000,115,Alicante,https://www.coches.net/bmw-z3-roadster-18i-2p-gasolina-1998-en-alicante-60361689-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 ROADSTER 1.9I,11900.0,Gasolina,1999,152000,140,A Coruña,https://www.coches.net/bmw-z3-roadster-19i-2p-gasolina-1999-en-a-coruna-60661925-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 1.9I,9900.0,Gasolina,1997,242771,140,Madrid,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-madrid-59428263-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9I,13900.0,Gasolina,1997,70000,140,Málaga,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-malaga-59335975-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 M Coupe,79990.0,Gasolina,2002,67000,325,Las Palmas,https://www.coches.net/bmw-z3-m-coupe-2p-gasolina-2002-en-las-palmas-60243576-covo.aspx,BMW,Z3,No data,COUPE
BMW Z3 1.9I,6700.0,Gasolina,1997,258000,140,Lugo,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-lugo-60672601-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3,11500.0,Gasolina,2003,200000,,Las Palmas,https://www.coches.net/bmw-z3-gasolina-2003-en-las_palmas-60609104-covo.aspx,BMW,Z3,No data,No data
BMW Z3 2.8,11000.0,Gasolina,1997,148000,192,Madrid,https://www.coches.net/bmw-z3-28-2p-gasolina-1997-en-madrid-60653291-covo.aspx,BMW,Z3,2.8,2.8
BMW Z3 1.8I,10000.0,Gasolina,1997,150000,115,Murcia,https://www.coches.net/bmw-z3-18i-2p-gasolina-1997-en-murcia-60643770-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3 2.8 Roadster,13990.0,Gasolina,2000,171000,193,Madrid,https://www.coches.net/bmw-z3-28-roadster-2p-gasolina-2000-en-madrid-59953870-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 M ROADSTER 3.2,35000.0,Gasolina,1998,150000,321,Baleares,https://www.coches.net/bmw-z3-m-roadster-32-2p-gasolina-1998-en-baleares-60670185-covo.aspx,BMW,Z3,3.2,3.2 ROADSTER
BMW Z3 1.8i Roadster,15995.0,Gasolina,2000,63000,118,Madrid,https://www.coches.net/bmw-z3-1.8i-roadster-2p-gasolina-2000-en-madrid-60235940-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 1.9I,6300.0,Gasolina,1998,230000,140,Castellón,https://www.coches.net/bmw-z3-19i-2p-gasolina-1998-en-castellon-60610411-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 2.8 ROADSTER,15550.0,Gasolina,1998,190000,193,Cantabria,https://www.coches.net/bmw-z3-28-coupe-2p-gasolina-1998-en-cantabria-60642162-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 2.2i Roadster,16980.0,Gasolina,2001,50000,170,Madrid,https://www.coches.net/bmw-z3-22i-roadster-2p-gasolina-2001-en-madrid-59359426-covo.aspx,BMW,Z3,2.2,2.2 ROADSTER
BMW Z3,10900.0,Gasolina,1996,112000,,Alicante,https://www.coches.net/bmw-z3-gasolina-1996-en-alicante-60568195-covo.aspx,BMW,Z3,No data,No data
BMW Z3,12000.0,Gasolina,2003,205000,,Málaga,https://www.coches.net/bmw-z3-gasolina-2003-en-malaga-60301051-covo.aspx,BMW,Z3,No data,No data
BMW Z3 ROADSTER 1.8I,6750.0,Gasolina,1998,150000,115,Madrid,https://www.coches.net/bmw-z3-roadster-18i-2p-gasolina-1998-en-madrid-60022126-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 2.2i Roadster,14000.0,Gasolina,2001,129400,170,Valencia,https://www.coches.net/bmw-z3-22i-roadster-2p-gasolina-2001-en-valencia-60515001-covo.aspx,BMW,Z3,2.2,2.2 ROADSTER
BMW Z3 ROADSTER 1.8I,11500.0,Gasolina,1998,93000,115,Sevilla,https://www.coches.net/bmw-z3-roadster-18i-2p-gasolina-1998-en-sevilla-60336631-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3,6990.0,Gasolina,1997,194000,115,Madrid,https://www.coches.net/bmw-z3-gasolina-1997-en-madrid-59500840-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 1.8 ROADSTER,5000.0,Gasolina,2001,238000,118,Murcia,https://www.coches.net/bmw-z3-18-roadster-2p-gasolina-2001-en-murcia-60479602-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 1.9I,8500.0,Gasolina,1996,164000,140,Barcelona,https://www.coches.net/bmw-z3-19i-2p-gasolina-1996-en-barcelona-59752476-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.8I 2p.,8900.0,Gasolina,1998,84000,115,Madrid,https://www.coches.net/bmw-z3-18i-2p-gasolina-1998-en-madrid-55695646-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3 ROADSTER 2.8,14300.0,Gasolina,1997,240000,192,Madrid,https://www.coches.net/bmw-z3-roadster-28-2p-gasolina-1997-en-madrid-60428005-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 1.9I,9999.0,Gasolina,1997,108000,140,Murcia,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-murcia-60431638-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3,8500.0,Gasolina,1998,135000,,Alicante,https://www.coches.net/bmw-z3-gasolina-1998-en-alicante-59762548-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3 ROADSTER 1.9I,7800.0,Gasolina,1998,260000,140,Vizcaya,https://www.coches.net/bmw-z3-roadster-19i-2p-gasolina-1998-en-vizcaya-60319492-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3,10999.0,Gasolina,1998,179000,140,Alicante,https://www.coches.net/bmw-z3-gasolina-1998-en-alicante-60220308-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3,5500.0,Gasolina,1996,175000,,Granada,https://www.coches.net/bmw-z3-gasolina-1996-en-granada-60488729-covo.aspx,BMW,Z3,No data,No data
BMW Z3,10500.0,Gasolina,1997,79988,,Málaga,https://www.coches.net/bmw-z3-gasolina-1997-en-malaga-60223510-covo.aspx,BMW,Z3,No data,No data
BMW Z3 M ROADSTER 3.2,34495.0,Gasolina,1999,158300,321,Ourense,https://www.coches.net/bmw-z3-m-roadster-32-2p-gasolina-1999-en-orense-60617031-covo.aspx,BMW,Z3,3.2,3.2 ROADSTER
BMW Z3,12000.0,Gasolina,2000,140000,,Vizcaya,https://www.coches.net/bmw-z3-gasolina-2000-en-vizcaya-60316336-covo.aspx,BMW,Z3,No data,ROADSTER
BMW Z3,14000.0,Gasolina,1999,234000,150,Valencia,https://www.coches.net/bmw-z3-gasolina-1999-en-valencia-60212131-covo.aspx,BMW,Z3,2.0,2.0 ROADSTER
BMW Z3 1.9I,5500.0,Gasolina,1996,170000,140,Baleares,https://www.coches.net/bmw-z3-19i-2p-gasolina-1996-en-baleares-60367416-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.8i Roadster,6800.0,Gasolina,2000,132000,118,Almería,https://www.coches.net/bmw-z3-18i-roadster-2p-gasolina-2000-en-almeria-58520095-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3,11900.0,Gasolina,2001,80000,170,Sta. C. Tenerife,https://www.coches.net/bmw-z3-gasolina-2001-en-sta_c_tenerife-60495788-covo.aspx,BMW,Z3,2.2,2.2
BMW Z3 1.9i Roadster,11500.0,Gasolina,2002,171000,118,Salamanca,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2002-en-salamanca-60382750-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3,7900.0,Gasolina,1999,220100,,Almería,https://www.coches.net/bmw-z3-gasolina-1999-en-almeria-59492126-covo.aspx,BMW,Z3,2.0,2.0
BMW Z3,7850.0,Gasolina,1997,140000,,Baleares,https://www.coches.net/bmw-z3-gasolina-1997-en-baleares-60434629-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 ROADSTER 2.8,17500.0,Gasolina,1998,110000,192,Alicante,https://www.coches.net/bmw-z3-roadster-28-2p-gasolina-1998-en-castellon-59711431-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3,10000.0,Gasolina,1996,155555,,Cádiz,https://www.coches.net/bmw-z3-gasolina-1996-en-cadiz-60343152-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3,19000.0,Gasolina,1999,128000,,Barcelona,https://www.coches.net/bmw-z3-gasolina-1999-en-barcelona-60531136-covo.aspx,BMW,Z3,No data,No data
BMW Z3 2.2i Roadster,15999.0,Gasolina,2002,159211,170,Granada,https://www.coches.net/bmw-z3-2.2i-roadster-2p-gasolina-2002-en-granada-60348227-covo.aspx,BMW,Z3,2.2,2.2 ROADSTER
BMW Z3 ROADSTER 2.8,15400.0,Gasolina,1998,148000,192,Girona,https://www.coches.net/bmw-z3-roadster-28-2p-gasolina-1998-en-girona-60473957-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 ROADSTER 2.8,18500.0,Gasolina,1999,124000,193,Barcelona,https://www.coches.net/bmw-z3-roadster-28-2p-gasolina-1999-en-barcelona-60373391-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 1.8I,17890.0,Gasolina,1997,150000,115,Málaga,https://www.coches.net/bmw-z3-18i-2p-gasolina-1997-en-malaga-59490264-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3,6200.0,Gasolina,1997,190000,142,Alicante,https://www.coches.net/bmw-z3-gasolina-1997-en-alicante-60444888-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3,4800.0,Gasolina,1997,286200,140,Cádiz,https://www.coches.net/bmw-z3-gasolina-1997-en-cadiz-59992924-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3,21900.0,Gasolina,1999,241141,,Murcia,https://www.coches.net/bmw-z3-gasolina-1999-en-murcia-60475783-covo.aspx,BMW,Z3,No data,No data
BMW Z3,4999.0,Gasolina,1996,191000,,Las Palmas,https://www.coches.net/bmw-z3-gasolina-1996-en-las_palmas-60205464-covo.aspx,BMW,Z3,No data,No data
BMW Z3 ROADSTER 1.9I,8500.0,Gasolina,1997,175000,,A Coruña,https://www.coches.net/bmw-z3-roadster-19i-2p-gasolina-1997-en-a_coruna-60469642-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 COUPE 2.8,29400.0,Gasolina,2000,105500,,Barcelona,https://www.coches.net/bmw-z3-coupe-28-2p-gasolina-2000-en-barcelona-57745862-covo.aspx,BMW,Z3,2.8,2.8 COUPE
BMW Z3 1.9I,10900.0,Gasolina,1996,166000,140,Alicante,https://www.coches.net/bmw-z3-19i-2p-gasolina-1996-en-alicante-59913993-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 3.0i Coupe,24500.0,Gasolina,2000,123000,231,Baleares,https://www.coches.net/bmw-z3-30i-coupe-2p-gasolina-2000-en-baleares-59516935-covo.aspx,BMW,Z3,3.0,3.0 COUPE
BMW Z3,7900.0,Gasolina,1999,240000,,Cádiz,https://www.coches.net/bmw-z3-gasolina-1999-en-cadiz-60196480-covo.aspx,BMW,Z3,No data,No data
BMW Z3,23900.0,Gasolina,2000,123000,,Baleares,https://www.coches.net/bmw-z3-gasolina-2000-en-baleares-59516917-covo.aspx,BMW,Z3,3.0,3.0 COUPE
BMW Z3 M 3.2,42000.0,Gasolina,1997,135000,321,Madrid,https://www.coches.net/bmw-z3-m-32-2p-gasolina-1997-en-madrid-59523054-covo.aspx,BMW,Z3,3.2,3.2
BMW Z3 2.8 ROADSTER,21600.0,Gasolina,2000,83000,193,Huesca,https://www.coches.net/bmw-z3-28-roadster-2p-gasolina-2000-en-huesca-60345218-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 1.9I,14990.0,Gasolina,1996,73500,140,Madrid,https://www.coches.net/bmw-z3-19i-2p-gasolina-1996-en-madrid-60541034-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 M ROADSTER 3.2,44990.0,Gasolina,1997,86500,321,Baleares,https://www.coches.net/bmw-serie-3-m3-2p-gasolina-1999-en-baleares-59088934-covo.aspx,BMW,Z3,3.2,3.2 ROADSTER
BMW Z3,25000.0,Gasolina,2000,24000,193,Burgos,https://www.coches.net/bmw-z3-gasolina-2000-en-burgos-60343340-covo.aspx,BMW,Z3,2.8,2.8
BMW Z3,7800.0,Gasolina,1999,186000,,Valencia,https://www.coches.net/bmw-z3-gasolina-1999-en-valencia-60513692-covo.aspx,BMW,Z3,No data,No data
BMW Z3 M COUPE 3.2,69000.0,Gasolina,1999,64918,321,A Coruña,https://www.coches.net/bmw-z3-m-coupe-3.2-3p-gasolina-1999-en-a-coruna-60234445-covo.aspx,BMW,Z3,3.2,3.2 COUPE
BMW Z3 1.9i Roadster,14990.0,Gasolina,2001,158000,118,Barcelona,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2001-en-barcelona-60245927-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3,14900.0,Gasolina,1997,146000,,Madrid,https://www.coches.net/bmw-z3-gasolina-1997-en-madrid-59948533-covo.aspx,BMW,Z3,No data,No data
BMW Z3 1.8I,10900.0,Gasolina,1996,110786,115,Cádiz,https://www.coches.net/bmw-z3-18i-2p-gasolina-1996-en-cadiz-60447460-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3 1.9I,12000.0,Gasolina,1996,200000,140,Lleida,https://www.coches.net/bmw-z3-19i-2p-gasolina-1996-en-lleida-59090678-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 2.8 ROADSTER,10300.0,Gasolina,2001,187500,193,Las Palmas,https://www.coches.net/bmw-z3-28-roadster-2p-gasolina-2001-en-las_palmas-60430962-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3 1.9I,12500.0,Gasolina,1997,125000,140,Castellón,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-castellon-60154508-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3,6450.0,Gasolina,1996,175258,,Sta. C. Tenerife,https://www.coches.net/bmw-z3-gasolina-1996-en-sta_c_tenerife-60423601-covo.aspx,BMW,Z3,No data,No data
BMW Z3,13500.0,Gasolina,2001,120000,,Huelva,https://www.coches.net/bmw-z3-gasolina-2001-en-huelva-59387678-covo.aspx,BMW,Z3,No data,No data
BMW Z3,17000.0,Gasolina,1998,40000,,Valencia,https://www.coches.net/bmw-z3-gasolina-1998-en-valencia-60533868-covo.aspx,BMW,Z3,No data,No data
BMW Z3,28000.0,Gasolina,2001,174000,231,Las Palmas,https://www.coches.net/bmw-z3-gasolina-2001-en-las_palmas-60438204-covo.aspx,BMW,Z3,3.0,3.0
BMW Z3 ROADSTER 1.9I,15000.0,Gasolina,1998,147000,140,Madrid,https://www.coches.net/bmw-z3-roadster-19i-2p-gasolina-1998-en-madrid-59338555-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 2.8,16500.0,Gasolina,1997,180000,192,Murcia,https://www.coches.net/bmw-z3-28-2p-gasolina-1997-en-murcia-60301636-covo.aspx,BMW,Z3,2.8,2.8
BMW Z3,900.0,Gasolina,2000,167000,,Barcelona,https://www.coches.net/bmw-z3-gasolina-2000-en-barcelona-60412282-covo.aspx,BMW,Z3,No data,No data
BMW Z3,2150.0,Gasolina,1998,250000,,Madrid,https://www.coches.net/bmw-z3-gasolina-1998-en-madrid-60295853-covo.aspx,BMW,Z3,No data,No data
BMW Z3 2.2i Roadster,18000.0,Gasolina,2002,92000,170,Córdoba,https://www.coches.net/bmw-z3-22i-roadster-2p-gasolina-2002-en-cordoba-60058552-covo.aspx,BMW,Z3,2.2,2.2 ROADSTER
BMW Z3 3.0i Coupe,27990.0,Gasolina,2000,253125,231,Valencia,https://www.coches.net/bmw-z3-3.0i-coupe-2p-gasolina-2000-en-valencia-60402082-covo.aspx,BMW,Z3,3.0,3.0 COUPE
BMW Z3,8500.0,Gasolina,1998,194500,,Tarragona,https://www.coches.net/bmw-z3-gasolina-1998-en-tarragona-60747300-covo.aspx,BMW,Z3,No data,No data
BMW Z3 1.9I,11990.0,Gasolina,1997,91000,140,Sta. C. Tenerife,https://www.coches.net/bmw-z3-1.9i-2p-gasolina-1997-en-sta.-c.-tenerife-57449802-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9i Roadster,15500.0,Gasolina,2002,75500,118,A Coruña,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2002-en-a_coruna-60261851-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
